Player,Credits,Player Type,Player Name,Team
NA Saini,,,,
RJW Topley,6.5,BOWL,Reece Topley,MI
C Green,,,,
KV Sharma,6.5,BOWL,Karn Sharma,MI
MG Bracewell,,,,
N Wadhera,7.5,BAT,Nehal Wadhera,PBKS
Arshad Khan,5.5,ALL,Arshad Khan,GT
JP Behrendorff,,,,
JC Archer,8,BOWL,Jofra Archer,RR
Yash Thakur,6.5,BOWL,Yash Thakur,PBKS
Abishek Porel,6.5,WK,Abishek Porel,DC
MW Short,,,,
Dhruv Jurel,7.5,WK,Dhruv Jurel,RR
Suyash Sharma,6,BOWL,Suyash Sharma,RCB
SSB Magala,,,,
Mohit Rathee,6,ALL,Mohit Rathee,RCB
WD Parnell,,,,
YV Dhull,,,,
A Zampa,7.5,BOWL,Adam Zampa,SRH
MM Sharma,7.5,BOWL,Mohit Sharma,DC
H Klaasen,9,WK,Heinrich Klaasen,SRH
Vijaykumar Vyshak,7,BOWL,Vyshak Vijaykumar,PBKS
Harpreet Singh,,,,
Yudhvir Singh,6.5,ALL,Yudhvir Singh Charak,RR
Atharva Taide,6.5,BAT,Atharva Taide,SRH
Arjun Tendulkar,5,BOWL,Arjun Tendulkar,MI
D Jansen,,,,
Noor Ahmad,7.5,BOWL,Noor Ahmad,CHE
Naveen-ul-Haq,,,,
Liton Das,,,,
PD Salt,8.5,WK,Philip Salt,RCB
K Khejroliya,6,BOWL,Kulwant Khejroliya,GT
D Wiese,,,,
Mayank Dagar,,,,
Abdul Basith,,,,
Gurnoor Brar,5.5,BOWL,Gurnoor Brar Singh,GT
AJ Hosein,,,,
SK Rasheed,5,BAT,Shaik Rasheed,CHE
Sonu Yadav,,,,
Akash Madhwal,7,BOWL,Akash Madhwal,RR
R Goyal,,,,
Swapnil Singh,7,ALL,Swapnil Singh,RCB
Vivrant Sharma,,,,
Vishnu Vinod,6.5,WK,Vishnu Vinod,PBKS
JE Root,,,,
P Dubey,6,BOWL,Pravin Dubey,PBKS
MD Shanaka,,,,
Sanvir Singh,,,,
Nithish Kumar Reddy,8,ALL,K Nitish Reddy,SRH
D Ferreira,7,ALL,Donovan Ferreira,DC
H Sharma,,,,
Subhransu Senapati,,,,
R Ravindra,8,BAT,Rachin Ravindra,CHE
SD Hope,,,,
RK Bhui,,,,
Sumit Kumar,,,,
Tanay Thyagarajan,,,,
MA Starc,8.5,BOWL,Mitchell Starc,DC
N Burger,,,,
L Wood,,,,
SZ Mulani,,,,
Azmatullah Omarzai,7.5,ALL,Azmatullah Omarzai,PBKS
Naman Dhir,6.5,ALL,Naman Dhir,MI
G Coetzee,7,BOWL,Gerald Coetzee,GT
SH Johnson,6.5,BOWL,Spencer Johnson,KKR
Sameer Rizvi,6.5,BAT,Sameer Rizvi,DC
KT Maphaka,6,BOWL,Kwena Maphaka,RR
TM Head,9,BAT,Travis Head,SRH
M Siddharth,6,BOWL,Manimaran Siddharth,LSG
MP Yadav,7.5,BOWL,Mayank Yadav,LSG
SB Dubey,5.5,BAT,Shubham Dubey,RR
A Raghuvanshi,6.5,BAT,Angkrish Raghuvanshi,KKR
Ashutosh Sharma,7,BAT,Ashutosh Sharma,DC
Saurav Chauhan,,,,
J Fraser-McGurk,7.5,BAT,Jake Fraser-McGurk,DC
Kumar Kushagra,5.5,WK,Kumar Kushagra,GT
BR Sharath,,,,
KA Maharaj,,,,
WG Jacks,7.5,ALL,Will Jacks,MI
Tanush Kotian,,,,
Arshad Khan (2),,,,
S Joseph,6.5,BOWL,Shamar Joseph,LSG
MJ Henry,,,,
N Thushara,7.5,BOWL,Nuwan Thushara,RCB
LB Williams,,,,
AA Kulkarni,6,ALL,Arshin Kulkarni,LSG
AJ Turner,,,,
RJ Gleeson,,,,
MJ Suthar,6,ALL,Manav Suthar,GT
A Kamboj,6,BOWL,Anshul Kamboj,CHE
Gulbadin Naib,,,,
V Viyaskanth,,,,
V Kaverappa,,,,
T Kohler-Cadmore,,,,
Shivam Singh,,,,
Aniket Verma,5,BAT,Aniket Verma,SRH
RD Rickelton,7.5,WK,Ryan Rickelton,MI
R Minz,,,,
PVSN Raju,5.5,ALL,Satyanarayana Raju,MI
V Puthur,5,BOWL,Vignesh Puthur,MI
V Nigam,5,BOWL,Vipraj Nigam,DC
T Vijay,5.5,BOWL,Tripurana Vijay,DC
DS Rathi,,,,
Prince Yadav,5.5,BOWL,Prince Yadav,LSG
Priyansh Arya,6.5,BAT,Priyansh Arya,PBKS
Ajay Mandal,6.5,ALL,Ajay Mandal,DC
Nishant Sindhu,6,ALL,Nishant Sindhu,GT
LUVNITH SISODIA,5.5,WK,Luvnith Sisodia,KKR
Yuvraj Chaudhary,5,ALL,Yuvraj Chaudhary,LSG
RS Hangargekar,5.5,BOWL,Rajvardhan Hangargekar,LSG
Aryan Juyal,5.5,WK,Aryan Juyal,LSG
MP Breetzke,6.5,BAT,Matthew Breetzke,LSG
Himmat Singh,5.5,BAT,Himmat Singh,LSG
R Minz,5.5,WK,Robin Minz,MI
Ashwani Kumar,5.5,BOWL,Ashwani Kumar,MI
K L Shrijith,6,WK,KL Shrijith,MI
C Bosch,6,ALL,Corbin Bosch,MI
Suryansh Shedge,5.5,ALL,Suryansh Shedge,PBKS
AM Hardie,7,ALL,Aaron Hardie,PBKS
XC Bartlett,6.5,BOWL,Xavier Bartlett,PBKS
JG Bethell,7,BAT,Jacob Bethell,RCB
KS Rathore,5,WK,Kunal Singh Rathore,RR
E Malinga,6,BOWL,Eshan Malinga,SRH
PHKD Mendis,7,BAT,Kamindu Mendis,SRH
PWA Mulder,7,ALL,Wiaan Mulder,SRH
JP Inglis,7.5,WK,Josh Inglis,PBKS
A Mhatre,5.5,ALL,Ayush Mhatre,CHE
Vaibhav Suryavanshi,5,BAT,Vaibhav Suryavanshi,RR
M Tiwari,5,ALL,Madhav Tiwari,DC
